pool,species,taxid,n_reads,pct_of_classified_reads,pct_of_total_pool_reads,confidence,is_common_respiratory_virus,total_reads_in_pool,total_classified_in_pool
260527-Copl-NAS-P1,Ormenosvirus syn9,2956240,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Ronodorvirus ssm4,2845939,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Sanyabayvirus DS1410Ws06,2844087,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Coopervirus stinger,1983119,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Weaselvirus weasel,2560706,1,0.0021,0.0009,low,False,106270,48558
260527-Copl-NAS-P1,Kuleanavirus kuleana,2843726,1,0.0021,0.0009,low,False,106270,48558
260530-NoS-NAS-P1,Rhinovirus A,147711,2,66.6667,20.0,low,True,10,3
260530-NoS-NAS-P1,Rhinovirus C,463676,1,33.3333,10.0,low,True,10,3
260602-Sea_P-NAS-P1,Rhinovirus A,147711,1373,62.4943,34.9453,high,True,3929,2197
260602-Sea_P-NAS-P1,Orthorubulavirus hominis,3052556,683,31.0878,17.3836,high,True,3929,2197
260602-Sea_P-NAS-P1,Enterovirus A,138948,125,5.6896,3.1815,high,True,3929,2197
260602-Sea_P-NAS-P1,Rhinovirus C,463676,6,0.2731,0.1527,low,True,3929,2197
260602-Sea_P-NAS-P1,Lambdapapillomavirus 1,181667,4,0.1821,0.1018,low,False,3929,2197
260602-Sea_P-NAS-P1,Enterovirus D,138951,1,0.0455,0.0255,low,True,3929,2197
260602-Sea_P-NAS-P1,Enterovirus J,1330521,1,0.0455,0.0255,low,True,3929,2197
260602-Sea_P-NAS-P1,Enterovirus L,2169885,1,0.0455,0.0255,low,True,3929,2197
260602-Sea_P-NAS-P1,Picornavirales sp.,1955153,1,0.0455,0.0255,low,False,3929,2197
260602-Sea_P-NAS-P1,Severe acute respiratory syndrome-related coronavirus,694009,1,0.0455,0.0255,low,True,3929,2197
260602-Sea_P-NAS-P1,Ampunavirus BpAMP1,2733589,1,0.0455,0.0255,low,False,3929,2197
